village_name,pincode,post_so_name,taluka name,District_name,state name
Agara,389140,"Agara B.O,Limkheda S.O",Limkheda,Dahod,Gujarat
Agariya Dhudiya,365560,"Mota-agariya B.O,Rajula S.O",Rajula,Amreli,Gujarat
Agariya Mota,365560,"Mota-agariya B.O,Rajula S.O",Rajula,Amreli,Gujarat
Agariya Nava,365560,"Mota-agariya B.O,Rajula S.O",Rajula,Amreli,Gujarat
AgarjinaMuvada,387620,"Garod B.O,Kapadwanj S.O",Kapadvanj,Kheda,Gujarat
Agarvapura,388230,"Agarwa B.O,Kalsar S.O",Thasra,Kheda,Gujarat
Agarwa,388230,"Agarwa B.O,Kalsar S.O",Thasra,Kheda,Gujarat
Agarwa Muvadi,388230,"Agarwa B.O,Kalsar S.O",Thasra,Kheda,Gujarat
Agarwada,388270,"Agarwada B.O,Vardhari S.O",Lunawada,Mahisagar,Gujarat
Agarwada,389115,"Agarwada B.O,Morva Hadaf S.O",Morwa (Hadaf),Panchmahal,Gujarat
Agarwada,389240,"Velanvada B.O,Kadana S.O",Kadana,Mahisagar,Gujarat
Agas,388130,"Agas B.O,Boria S.O (Anand)",Petlad,Anand,Gujarat
Agasi,396060,"Agasi B.O,Rumla S.O",Chikhli,Navsari,Gujarat
Agasini Muvadi,389340,"Sureli B.O,Vejalpur S.O",Kalol,Panchmahal,Gujarat
Agasvan,394651,"Agasvan B.O,Anumala S.O",Songadh,Tapi,Gujarat
Agasvani,389382,"Agaswani B.O,Dhanpur S.O",Dhanpur,Dahod,Gujarat
Agatiya,383350,"Ramgadhi B.O,Meghraj S.O",Malpur,Aravalli,Gujarat
Agawada,389154,"Agavada B.O,Katwara S.O",Dohad,Dahod,Gujarat
Agdol,385535,"Ghada B.O,Disa Mukhya Dak Ghar S.O",Deesa,Banaskantha,Gujarat
Aghar,384265,"Aghar B.O,Patan H.O",Patan,Patan,Gujarat
Aghar (Ashoknagar),382140,"Ashoknagar B.O,Rampura S.O (Ahmedabad)",Detroj-Rampura,Ahmedabad,Gujarat
Aghatna Muvada,387610,"Bhailakui B.O,Attarsumba S.O",Kapadvanj,Kheda,Gujarat
Agichana,385360,"Agichana B.O,Varahi S.O",Radhanpur,Patan,Gujarat
Agiya,383270,"Agiya B.O,Radhiwad S.O",Khedbrahma,Sabarkantha,Gujarat
Agiyali,364260,"Agiyali B.O,Tana S.O",Sihor,Bhavnagar,Gujarat
Agiyol,383001,"Agiol B.O,Himatnagar H.O",Himatnagar,Sabarkantha,Gujarat
Agola,385001,"Palanpur H.O,Palanpur H.O",Palanpur,Banaskantha,Gujarat
Agthala,385535,"Agthala B.O,Disa Mukhya Dak Ghar S.O",Lakhani,Banaskantha,Gujarat
Ahamadpur,382305,"Nandol B.O,Dehgam S.O",Dehgam,Gandhinagar,Gujarat
Ahapur,383345,"Mangalpur B.O,Malpur S.O",Malpur,Aravalli,Gujarat
Aherdi,394730,"Nanapada B.O,Waghai S.O",Dang,Dang,Gujarat
Ahethi,382225,"Dholka H.O,Dholka H.O",Dholka,Ahmedabad,Gujarat
Ahima,388210,"Ahima B.O,Ode S.O",Umreth,Anand,Gujarat
Ahirpada,394710,"Garakhadi B.O,Ahwadangs S.O",Dang,Dang,Gujarat
Ahmadabad City,380001,"Ahmedabad G.P.O.,Ahmedabad G.P.O. ",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,380002,"Revdibazar H.O,Railwaypura S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,380009,"Navrangpura H.O,Navrangpura H.O",Ahmedabad,Ahmedabad,Gujarat
Kubernagar,382340,Kubernagar S.O Kubernagar B.O,Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382330,"Nana Chiloda B.O,Naroda I E S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382330,"Limbadia B.O,Naroda I E S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382405,"Gyaspur B.O,Narol S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382405,"Saijpur B.O,Narol S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382405,"Shahwadi B.O,Narol S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadabad City,382470,"Kali B.O,Digvijaynagar S.O",Ahmedabad,Ahmedabad,Gujarat
Ahmadpura,383340,"Odha B.O,Sathamba S.O",Bayad,Aravalli,Gujarat
Ahmedgadh,382765,"Jainabad B.O,Patdi S.O",Dasada,Surendranagar,Gujarat
Ahmedpura,383215,"Ghadi B.O,Talod S.O",Talod,Sabarkantha,Gujarat
Ahu,396135,"Saronda B.O,Nargol S.O",Umbergaon,Valsad,Gujarat
Aida,370655,"Aida B.O,Naliya S.O",Abdasa,Kutch,Gujarat
AIR FORCE PUMP,390022,"Amaliyara B.O,Harni Colony S.O",Vadodara,Vadodara,Gujarat
Aithor,384170,"Aithor B.O,Unjha S.O",Unjha,Mehsana,Gujarat
Aiyar,370605,"Aiyar B.O,Kotda-N S.O",Nakhatrana,Kutch,Gujarat
Ajab,362229,"Ajab B.O,Keshod Akshaygadh S.O",Keshod,Junagadh,Gujarat
Ajabpura,383340,"Odha B.O,Sathamba S.O",Bayad,Aravalli,Gujarat
Ajabpura,384430,"Martoli B.O,Santhal S.O",Becharaji,Mehsana,Gujarat
Ajabpura,384430,"Martoli B.O,Santhal S.O",Mahesana,Mehsana,Gujarat
Ajabpura,387110,"Kuna B.O,Ghodasar S.O (Kheda)",Mehmedabad,Kheda,Gujarat
Ajabpura,391770,"Prathampura B.O,Savli S.O",Savli,Vadodara,Gujarat
Ajad Tapu,361305,"Asota Mota B.O,Khambhalia S.O",Khambhalia,Devbhoomi Dwarka,Gujarat
Ajak,362240,"Ajak B.O,Shil S.O",Mangrol,Junagadh,Gujarat
Ajali,391135,"Modasar B.O,Bodeli S.O",Sankheda,Chhota Udaipur,Gujarat
Ajapar,370110,"Modvadar B.O,Anjar S.O",Anjar,Kutch,Gujarat
Ajapar,370445,"Ludva B.O,Gadhasisa S.O",Mandvi,Kutch,Gujarat
Ajaria,389230,"Kanesar B.O,Lunawada S.O",Khanpur,Mahisagar,Gujarat
Ajavas,383422,"Ajavas B.O,Poshina S.O",Khedbrahma,Sabarkantha,Gujarat
Ajawada,385566,"Rampura B.O,Dhima S.O",Tharad,Banaskantha,Gujarat
Ajepur,383460,"Atarsumba B.O,Vijaynagar S.O",Vijaynagar,Sabarkantha,Gujarat
Ajimana,384265,"Ajimana B.O,Patan H.O",Patan,Patan,Gujarat
Ajitgadh,363330,"Ajitgadh B.O,Halvad S.O",Halvad,Morbi,Gujarat
